"Country","c1_security_apparatus_2023","c1_security_apparatus_2022","c1_security_apparatus_2021","c1_security_apparatus_2020","c2_factionalized_elites_2023","c2_factionalized_elites_2022","c2_factionalized_elites_2021","c2_factionalized_elites_2020","c3_group_grievance_2023","c3_group_grievance_2022","c3_group_grievance_2021","c3_group_grievance_2020"
"Costa Rica",2.9,3.2,3.5,2.51141398520305,4.9,4.4,3.9,3.4,2.4,2.7,3,3.3
"Czech Republic",3.2,NA,NA,0.941906869133547,4.5,NA,NA,2.9,4,NA,NA,4.9
"Lithuania",3.6,3.9,3.4,1.9,2.9,1.9,1.8,1.9,2.7,3,3.3,3.59754391322596
"Estonia",2.9,3.2,2.9,1.9,2.6,1.6,1.9,2.2,6.8,7.1,7.4,7.67149013105445
"Mauritius",3.1,3,2.9,2.87148056673986,1.6,1.9,1.7,2,5,4.7,4.4,4.1
"Slovak Republic",2.6,NA,NA,1.4,3.3,NA,NA,2.9,5.5,NA,NA,6
"United Arab Emirates",3.6,3.9,3.6,3.1,1.4,1.7,1.8,1.9,2.2,2.5,2.8,2.5
"Uruguay",3.4,3.7,3.4,2.9,1.8,2.1,1.9,2.2,2.3,2.3,2.4,2.11816495317857
"Malta",3.7,4,3.7,2.54583735407852,3.2,3.5,3.8,3.7,2.1,2.4,2.7,3
"South Korea",2.5,2.8,2.3,2,1.1,1.4,1.6,1.6,2.8,2.6,2.3,2.4
"Belgium",4.2,4.5,4,1.51723566642652,2.1,2.4,2.3,2,3.5,3.8,4.1,4.4
"Japan",5.9,6.2,5.7,5.7,2.6,2.9,3.2,3.5,1.9,2.2,2.5,2.8
"France",3.1,3.4,3.9,1.9,2.4,2.7,2.7,2.5,6.4,6.7,6.4,6.7
"Slovenia",3.6,3.9,3.4,1.4,2.6,2.5,2.8,3.1,3,3.3,3.6,3.9
"Portugal",4,4.3,3.3,1.8,1.4,1.7,1.8,1.92462927973249,0.7,1,1.3,1.6
"Singapore",2.5,2.6,2.1,2.04610054993788,0.5,0.4,0.7,1,2.8,2.5,2.2,1.7
"Germany",2.3,2.6,2.1,1.1,4.5,4,4,4.3,3.4,3.7,4,4.3
"Austria",3.6,3.9,3.4,1.9,4.5,4.2,4.4,4.7,3.3,3.6,3.9,4.2
"Australia",3.8,3.7,2.9,1.9,1.7,2,2,1.8,2.9,3.2,3.1,3.4
"Netherlands",2.5,2.8,3.1,1.61232270677989,2.4,2.3,2.6,2.9,3,3.3,3.6,3.9
"Sweden",3,3.3,3.3,1.3,3.7,4,4.3,4.6,2.3,2,1.7,1.4
"Luxembourg",2.4,2.9,2.8,1.34991536693751,2.8,2.8,2.5,2.8,1.5,1.8,2.1,2.4
"Ireland",2.8,3.1,2.8,1.72540438613773,1.6,1.3,1.4,1.1,0.5,0.6,0.5,0.7
"Canada",1.2,1.5,2,1,2,2.3,2.2,1.9,2,2.3,2.2,2.5
"Denmark",2.3,2.6,2.3,1.3,3,2.7,2.2,1.7,3.1,3.4,3.7,4
"Switzerland",2.4,2.7,3.2,1.24158668798204,3.2,3.1,3.1,2.8,2.1,2.4,2.7,3
"New Zealand",1.1,1.3,1.4,1.4,1.2,1.5,1.6,1.7,2,2.3,2.6,2.9
"Finland",1.7,2,1.7,0.7,1.9,1.6,1.5,1.6,0.3,0.3,0.6,0.9
"Iceland",1.5,1.8,1.5,1,1.5,1.8,1.5,1.7,0.5,0.5,0.5,0.7
"Norway",1.4,1.7,1.4,0.9,1.7,2,2.2,2.5,3.1,3.4,3.3,3.6
"Côte d'Ivoire",NA,8.5,NA,NA,NA,6.3,NA,NA,NA,7,NA,NA
"Kyrgyzstan",NA,6,5.5,NA,NA,3.8,4.1,NA,NA,8.2,8.1,NA
"North Macedonia",NA,4.5,4.2,NA,NA,6.6,6.9,NA,NA,5.7,6,NA
"Cabo Verde",NA,6.5,6.8,NA,NA,3.3,3.6,NA,NA,2.6,2.9,NA
"Czechia",NA,3.5,3,NA,NA,3.5,3.2,NA,NA,4.3,4.6,NA
"Slovakia",NA,2.9,2.4,NA,NA,2.3,2.6,NA,NA,5.4,5.7,NA
"Eswatini",NA,NA,8.9,NA,NA,NA,4.1,NA,NA,NA,2.2,NA
"Israel and West Bank",NA,NA,NA,5.1,NA,NA,NA,7.5,NA,NA,NA,9.99997172398179
